iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,28/2/2021,55714,7,15.714,2443,0,1.571,1398.604,0.176,0.394,61.327,0,0.039,0.93,,,,,,,,,,,,,,,,,,8200,8200,,,,1367,0.02,0.02,,,34,12.04,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,16/3/2021,55995,10,17,2460,1,1.286,1405.658,0.251,0.427,61.754,0.025,0.032,1.12,,,,,,,,,,,,,,,,,,54000,54000,,,,2862,0.14,0.14,,,72,30.56,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,7/4/2021,56873,94,59.857,2512,0,4,1427.699,2.36,1.503,63.059,0,0.1,1.35,,,,,,,,,,,,,,,,,,120000,120000,,,,3000,0.3,0.3,,,75,26.85,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,22/4/2021,58312,98,111.143,2561,4,4,1463.823,2.46,2.79,64.29,0.1,0.1,1.34,,,,,,,,,,,,,,,,,,240000,240000,,,,8000,0.6,0.6,,,201,26.85,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,11/5/2021,62403,340,262.857,2710,12,8.857,1566.52,8.535,6.599,68.03,0.301,0.222,1.28,,,,,,,,,,,,,,,,,,504502,448878,55624,,,13921,1.27,1.13,0.14,,349,26.85,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,20/5/2021,64575,453,218.571,2772,10,7.286,1621.044,11.372,5.487,69.586,0.251,0.183,1.34,,,,,,,,,,,,,,,,,,547901,470341,77560,,,4822,1.38,1.18,0.19,,121,26.85,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,30/5/2021,70761,650,719,2919,20,16.714,1776.333,16.317,18.049,73.276,0.502,0.42,1.39,,,,,,,,,,,,,,,,,,600152,480226,119926,,,4746,1.51,1.21,0.3,,119,37.96,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,30/6/2021,118659,1501,1528.857,4871,77,72.143,2978.73,37.68,38.379,122.278,1.933,1.811,0.98,,,,,,,,,,,,,,,,,,886854,699200,187654,,,15286,2.23,1.76,0.47,,384,46.3,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,14/7/2021,136643,754,1088.857,5923,74,72.571,3430.188,18.928,27.334,148.687,1.858,1.822,0.83,,,,,,,,,,,,,,,,,,1024168,,,,,12815,2.57,,,,322,56.02,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,30/9/2021,155174,46,53.429,7204,0,0.714,3895.377,1.155,1.341,180.844,0,0.018,0.86,,,,,,,,,,,,,,,,,,2369625,828601,,,,12999,5.95,2.08,,,326,35.19,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
